legacy_run_path	mat_count	mat_bytes	has_metrics
model/Ablation3_GlobalLambda/dqn_hard_seed2_re5_global_max	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed3_re5_global_max	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed4_re5_global_max	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed5_re5_global_max	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed6_re5_global_max	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed7_re5_global_max	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed2_re5_global_mean	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed3_re5_global_mean	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed4_re5_global_mean	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed5_re5_global_mean	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed6_re5_global_mean	12	2112752	1
model/Ablation3_GlobalLambda/dqn_hard_seed7_re5_global_mean	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w2	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w2	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w2	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w2	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w2	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w2	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w5	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w5	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w5	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w5	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w5	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w5	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w10	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w10	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w10	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w10	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w10	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w10	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w20	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w20	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w20	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w20	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w20	12	2112752	1
model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w20	12	2112752	1
model/dqn_soft_seed2_re1	10	2088368	1
model/dqn_soft_seed2_re1_modelog	11	2100560	1
model/dqn_soft_seed2_re20	10	2088368	1
model/Mem_Sweep/dqn_soft_seed2_re5_mem25000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed3_re5_mem25000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed4_re5_mem25000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed5_re5_mem25000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed6_re5_mem25000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed2_re5_mem50000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed3_re5_mem50000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed4_re5_mem50000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed5_re5_mem50000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed6_re5_mem50000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed2_re5_mem100000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed3_re5_mem100000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed4_re5_mem100000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed5_re5_mem100000	12	2112752	1
model/Mem_Sweep/dqn_soft_seed6_re5_mem100000	12	2112752	1
model/Scan_Cadence/dqn_soft_seed2_re1	11	2100560	1
model/Scan_Cadence/dqn_soft_seed3_re1	11	2100560	1
model/Scan_Cadence/dqn_soft_seed4_re1	11	2100560	1
model/Scan_Cadence/dqn_soft_seed5_re1	11	2100560	1
model/Scan_Cadence/dqn_soft_seed6_re1	11	2100560	1
model/Scan_Cadence/dqn_soft_seed7_re1	11	2100560	1
model/Scan_Cadence/dqn_soft_seed2_re5	11	2100560	1
model/Scan_Cadence/dqn_soft_seed3_re5	11	2100560	1
model/Scan_Cadence/dqn_soft_seed4_re5	11	2100560	1
model/Scan_Cadence/dqn_soft_seed5_re5	11	2100560	1
model/Scan_Cadence/dqn_soft_seed6_re5	11	2100560	1
model/Scan_Cadence/dqn_soft_seed7_re5	11	2100560	1
model/Scan_Cadence/dqn_soft_seed2_re20	11	2100560	1
model/Scan_Cadence/dqn_soft_seed3_re20	11	2100560	1
model/Scan_Cadence/dqn_soft_seed4_re20	11	2100560	1
model/Scan_Cadence/dqn_soft_seed5_re20	11	2100560	1
model/Scan_Cadence/dqn_soft_seed6_re20	11	2100560	1
model/Scan_Cadence/dqn_soft_seed7_re20	11	2100560	1
model/Step5_CMDP/dqn_hard_seed2_re5	12	2112752	1
model/Step5_CMDP/dqn_hard_seed3_re5	12	2112752	1
model/Step5_CMDP/dqn_hard_seed4_re5	12	2112752	1
model/Step5_CMDP/dqn_hard_seed5_re5	12	2112752	1
model/Step5_CMDP/dqn_hard_seed6_re5	12	2112752	1
model/Step5_CMDP/dqn_hard_seed7_re5	12	2112752	1
model/Step5_RCPO/dqn_hard_seed2_re5	12	2112752	1
model/Step5_RCPO/dqn_hard_seed3_re5	12	2112752	1
model/Step5_RCPO/dqn_hard_seed4_re5	12	2112752	1
model/Step5_RCPO/dqn_hard_seed5_re5	12	2112752	1
model/Step5_RCPO/dqn_hard_seed6_re5	12	2112752	1
model/Step5_RCPO/dqn_hard_seed7_re5	12	2112752	1
model/Step5_RCPO_re20/dqn_hard_seed2_re20	12	2112752	1
model/Step5_RCPO_re20/dqn_hard_seed3_re20	12	2112752	1
model/Step5_RCPO_re20/dqn_hard_seed4_re20	12	2112752	1
model/Step5_RCPO_re20/dqn_hard_seed5_re20	12	2112752	1
model/Step5_RCPO_re20/dqn_hard_seed6_re20	12	2112752	1
model/Step5_RCPO_re20/dqn_hard_seed7_re20	12	2112752	1

