arm_id	role	seed	run_path
A00	baseline_soft_raw	2	../../runs/soft_raw_aoi/dqn_soft_raw_re05_buf050k_seed02
A10	ablation_global_mean	2	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed02
A20	ablation_global_max	2	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed02
A32	ablation_fixed_w02	2	../../runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed02
A35	ablation_fixed_w05	2	../../runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed02
A40	ablation_fixed_w10	2	../../runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed02
A50	ablation_fixed_w20	2	../../runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed02
A80	ours_per_platoon	2	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed02
A00	baseline_soft_raw	3	../../runs/soft_raw_aoi/dqn_soft_raw_re05_buf050k_seed03
A10	ablation_global_mean	3	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed03
A20	ablation_global_max	3	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed03
A32	ablation_fixed_w02	3	../../runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed03
A35	ablation_fixed_w05	3	../../runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed03
A40	ablation_fixed_w10	3	../../runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed03
A50	ablation_fixed_w20	3	../../runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed03
A80	ours_per_platoon	3	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed03
A00	baseline_soft_raw	4	../../runs/soft_raw_aoi/dqn_soft_raw_re05_buf050k_seed04
A10	ablation_global_mean	4	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed04
A20	ablation_global_max	4	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed04
A32	ablation_fixed_w02	4	../../runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed04
A35	ablation_fixed_w05	4	../../runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed04
A40	ablation_fixed_w10	4	../../runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed04
A50	ablation_fixed_w20	4	../../runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed04
A80	ours_per_platoon	4	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed04
A00	baseline_soft_raw	5	../../runs/soft_raw_aoi/dqn_soft_raw_re05_buf050k_seed05
A10	ablation_global_mean	5	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed05
A20	ablation_global_max	5	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed05
A32	ablation_fixed_w02	5	../../runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed05
A35	ablation_fixed_w05	5	../../runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed05
A40	ablation_fixed_w10	5	../../runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed05
A50	ablation_fixed_w20	5	../../runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed05
A80	ours_per_platoon	5	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed05
A00	baseline_soft_raw	6	../../runs/soft_raw_aoi/dqn_soft_raw_re05_buf050k_seed06
A10	ablation_global_mean	6	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed06
A20	ablation_global_max	6	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed06
A32	ablation_fixed_w02	6	../../runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed06
A35	ablation_fixed_w05	6	../../runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed06
A40	ablation_fixed_w10	6	../../runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed06
A50	ablation_fixed_w20	6	../../runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed06
A80	ours_per_platoon	6	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed06
A00	baseline_soft_raw	7	../../runs/soft_raw_aoi/dqn_soft_raw_re05_buf050k_seed07
A10	ablation_global_mean	7	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed07
A20	ablation_global_max	7	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed07
A32	ablation_fixed_w02	7	../../runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed07
A35	ablation_fixed_w05	7	../../runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed07
A40	ablation_fixed_w10	7	../../runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed07
A50	ablation_fixed_w20	7	../../runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed07
A80	ours_per_platoon	7	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed07


