lambda_max	seed	platoon	viol_last100	lambda_final	lambda_mean100	lambda_max100	cap_fraction100	near_cap_fraction100
5	2	1	0.126900	5.000000	4.698700	5.000000	0.300	0.370
5	2	2	0.104200	2.094999	2.246250	2.744999	0.000	0.000
5	2	3	0.135300	4.785000	4.950100	5.000000	0.510	0.780
5	2	4	0.101200	0.255000	0.259650	0.680000	0.000	0.000
5	2	5	0.115800	1.730000	1.632600	2.470000	0.000	0.000
5	3	1	0.097800	4.570000	4.619900	5.000000	0.050	0.080
5	3	2	0.116500	4.965000	4.910500	5.000000	0.350	0.640
5	3	3	0.157700	5.000000	4.976750	5.000000	0.670	0.920
5	3	4	0.104900	1.280000	0.994250	1.975000	0.000	0.000
5	3	5	0.124100	4.619999	3.502849	4.904999	0.000	0.010
5	4	1	0.096000	1.354999	1.313699	1.645000	0.000	0.000
5	4	2	0.099500	3.670000	4.455450	5.000000	0.080	0.130
5	4	3	0.104700	1.039999	0.836599	1.209999	0.000	0.000
5	4	4	0.109500	1.825000	0.712600	1.825000	0.000	0.000
5	4	5	0.093300	1.674999	1.626850	2.395000	0.000	0.000
5	5	1	0.098600	0.430000	0.450200	0.790000	0.000	0.000
5	5	2	0.109600	2.809999	2.135250	2.920000	0.000	0.000
5	5	3	0.096100	3.670000	3.962900	4.495000	0.000	0.000
5	5	4	0.099900	0.704999	0.712799	0.944999	0.000	0.000
5	5	5	0.100300	0.439999	0.381099	0.749999	0.000	0.000
5	6	1	0.112300	2.740000	1.802800	2.930000	0.000	0.000
5	6	2	0.095600	0.315000	0.256100	0.660000	0.000	0.000
5	6	3	0.136800	5.000000	4.937200	5.000000	0.500	0.760
5	6	4	0.099100	0.484999	0.463849	0.814999	0.000	0.000
5	6	5	0.099800	0.634999	0.448749	0.774999	0.000	0.000
5	7	1	0.227300	5.000000	4.986250	5.000000	0.820	0.940
5	7	2	0.096800	0.309999	0.447399	0.784999	0.000	0.000
5	7	3	0.095800	1.059999	1.076500	1.465000	0.000	0.000
5	7	4	0.098200	0.165000	0.204400	0.539999	0.000	0.000
5	7	5	0.171400	5.000000	4.950900	5.000000	0.590	0.810
10	2	1	0.122000	6.214999	4.767199	6.375000	0.000	0.000
10	2	2	0.112500	2.784999	2.072550	3.004999	0.000	0.000
10	2	3	0.120100	10.000000	9.888250	10.000000	0.340	0.720
10	2	4	0.100000	0.314999	0.277699	0.574999	0.000	0.000
10	2	5	0.125700	2.575000	1.361400	2.765000	0.000	0.000
10	3	1	0.074700	4.590000	5.233150	6.955000	0.000	0.000
10	3	2	0.109300	7.289999	7.151850	7.900000	0.000	0.000
10	3	3	0.172800	9.930000	9.974100	10.000000	0.660	0.970
10	3	4	0.116100	2.430000	1.157900	3.040000	0.000	0.000
10	3	5	0.128900	5.675000	4.393700	6.329999	0.000	0.000
10	4	1	0.105000	2.109999	1.798299	2.334999	0.000	0.000
10	4	2	0.095600	4.574999	5.394849	6.280000	0.000	0.000
10	4	3	0.103100	0.764999	0.838649	1.269999	0.000	0.000
10	4	4	0.100500	0.965000	1.063500	1.525000	0.000	0.000
10	4	5	0.092700	1.654999	1.877449	2.740000	0.000	0.000
10	5	1	0.096400	0.259999	0.509249	0.805000	0.000	0.000
10	5	2	0.106800	2.150000	1.983250	2.455000	0.000	0.000
10	5	3	0.091200	6.025000	6.958000	7.765000	0.000	0.000
10	5	4	0.099000	0.759999	0.666549	0.979999	0.000	0.000
10	5	5	0.098700	0.454999	0.438399	0.789999	0.000	0.000
10	6	1	0.109200	2.744999	2.010650	3.179999	0.000	0.000
10	6	2	0.097500	0.469999	0.358949	0.619999	0.000	0.000
10	6	3	0.110300	6.069999	6.297149	6.764999	0.000	0.000
10	6	4	0.098700	0.239999	0.431299	0.744999	0.000	0.000
10	6	5	0.099900	0.429999	0.459400	0.805000	0.000	0.000
10	7	1	0.170300	10.000000	9.561600	10.000000	0.410	0.490
10	7	2	0.097700	0.239999	0.440499	0.819999	0.000	0.000
10	7	3	0.100500	1.044999	1.175600	1.654999	0.000	0.000
10	7	4	0.099800	0.000000	0.284599	0.619999	0.000	0.000
10	7	5	0.224800	10.000000	9.988500	10.000000	0.820	1.000
20	2	1	0.123500	6.630000	5.053250	6.750000	0.000	0.000
20	2	2	0.104900	2.134999	2.089099	2.854999	0.000	0.000
20	2	3	0.097800	18.545000	19.628150	20.000000	0.160	0.580
20	2	4	0.097900	0.070000	0.244400	0.545000	0.000	0.000
20	2	5	0.119500	2.010000	1.490650	2.240000	0.000	0.000
20	3	1	0.058300	10.035000	12.022550	14.400000	0.000	0.000
20	3	2	0.124700	8.410000	6.965699	8.554999	0.000	0.000
20	3	3	0.158500	20.000000	18.216550	20.000000	0.160	0.340
20	3	4	0.118200	2.950000	1.254600	3.570000	0.000	0.000
20	3	5	0.137200	5.740000	3.842500	5.740000	0.000	0.000
20	4	1	0.105000	2.109999	1.798299	2.334999	0.000	0.000
20	4	2	0.095600	4.574999	5.394849	6.280000	0.000	0.000
20	4	3	0.103100	0.764999	0.838649	1.269999	0.000	0.000
20	4	4	0.100500	0.965000	1.063500	1.525000	0.000	0.000
20	4	5	0.092700	1.654999	1.877449	2.740000	0.000	0.000
20	5	1	0.098600	0.319999	0.451200	0.734999	0.000	0.000
20	5	2	0.105800	2.270000	1.940250	2.525000	0.000	0.000
20	5	3	0.073300	6.349999	7.729300	8.940000	0.000	0.000
20	5	4	0.099400	0.504999	0.650649	1.064999	0.000	0.000
20	5	5	0.100600	0.264999	0.393799	0.779999	0.000	0.000
20	6	1	0.109200	2.744999	2.010650	3.179999	0.000	0.000
20	6	2	0.097500	0.469999	0.358949	0.619999	0.000	0.000
20	6	3	0.110300	6.069999	6.297149	6.764999	0.000	0.000
20	6	4	0.098700	0.239999	0.431299	0.744999	0.000	0.000
20	6	5	0.099900	0.429999	0.459400	0.805000	0.000	0.000
20	7	1	0.157900	15.990000	11.999750	15.990000	0.000	0.000
20	7	2	0.096700	0.264999	0.426899	0.784999	0.000	0.000
20	7	3	0.096500	1.084999	1.249599	1.904999	0.000	0.000
20	7	4	0.095900	0.035000	0.271099	0.534999	0.000	0.000
20	7	5	0.161500	20.000000	17.079350	20.000000	0.120	0.190
