arm_id	role	seed	run_path
L05	baseline	2	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed02
L05	baseline	3	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed03
L05	baseline	4	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed04
L05	baseline	5	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed05
L05	baseline	6	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed06
L05	baseline	7	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed07
L10	cap_sensitivity	2	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed02
L10	cap_sensitivity	3	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed03
L10	cap_sensitivity	4	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed04
L10	cap_sensitivity	5	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed05
L10	cap_sensitivity	6	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed06
L10	cap_sensitivity	7	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed07
L20	cap_sensitivity	2	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed02
L20	cap_sensitivity	3	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed03
L20	cap_sensitivity	4	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed04
L20	cap_sensitivity	5	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed05
L20	cap_sensitivity	6	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed06
L20	cap_sensitivity	7	../../runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed07
