arm_id	role	seed	run_path
A10	ablation_global_mean	2	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed02
A10	ablation_global_mean	3	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed03
A10	ablation_global_mean	4	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed04
A10	ablation_global_mean	5	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed05
A10	ablation_global_mean	6	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed06
A10	ablation_global_mean	7	../../runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed07
A20	ablation_global_max	2	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed02
A20	ablation_global_max	3	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed03
A20	ablation_global_max	4	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed04
A20	ablation_global_max	5	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed05
A20	ablation_global_max	6	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed06
A20	ablation_global_max	7	../../runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed07
A32	ablation_fixed_w02	2	../../runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed02
A32	ablation_fixed_w02	3	../../runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed03
A32	ablation_fixed_w02	4	../../runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed04
A32	ablation_fixed_w02	5	../../runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed05
A32	ablation_fixed_w02	6	../../runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed06
A32	ablation_fixed_w02	7	../../runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed07
A35	ablation_fixed_w05	2	../../runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed02
A35	ablation_fixed_w05	3	../../runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed03
A35	ablation_fixed_w05	4	../../runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed04
A35	ablation_fixed_w05	5	../../runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed05
A35	ablation_fixed_w05	6	../../runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed06
A35	ablation_fixed_w05	7	../../runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed07
A40	ablation_fixed_w10	2	../../runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed02
A40	ablation_fixed_w10	3	../../runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed03
A40	ablation_fixed_w10	4	../../runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed04
A40	ablation_fixed_w10	5	../../runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed05
A40	ablation_fixed_w10	6	../../runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed06
A40	ablation_fixed_w10	7	../../runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed07
A50	ablation_fixed_w20	2	../../runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed02
A50	ablation_fixed_w20	3	../../runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed03
A50	ablation_fixed_w20	4	../../runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed04
A50	ablation_fixed_w20	5	../../runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed05
A50	ablation_fixed_w20	6	../../runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed06
A50	ablation_fixed_w20	7	../../runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed07
