method	seed	worst_platoon	net_mean	mean_AoI_last100	mean_power_dBm	mean_power_mW
global_mean	2	0.188300	0.105760	4.336525	13.055380	172.840523
global_mean	3	0.203000	0.116100	4.556230	16.047080	239.238758
global_mean	4	0.161900	0.098940	4.458367	7.411560	112.534879
global_mean	5	0.183700	0.099880	4.399000	6.945420	107.106258
global_mean	6	0.257900	0.102480	4.390090	7.628100	122.327109
global_mean	7	0.242100	0.102780	4.341850	9.153780	148.314378
global_max	2	0.279200	0.144980	4.787980	15.488240	184.715656
global_max	3	0.265200	0.143700	5.082557	16.605220	242.324282
global_max	4	0.105400	0.068440	4.072945	11.376640	163.292446
global_max	5	0.137900	0.082380	4.171918	13.042820	180.024147
global_max	6	0.219600	0.100920	4.285633	13.035480	173.753982
global_max	7	0.265000	0.147300	4.923420	15.332520	214.119538
fixed_w02	2	0.243700	0.164480	5.137131	14.212160	165.739383
fixed_w02	3	0.232700	0.156220	5.138525	13.523320	197.468919
fixed_w02	4	0.244800	0.153320	5.072980	12.932480	164.726202
fixed_w02	5	0.133200	0.070840	4.090707	7.339140	115.088460
fixed_w02	6	0.192300	0.078780	4.068738	8.474780	142.635998
fixed_w02	7	0.377400	0.192720	5.783680	11.063820	141.938906
fixed_w05	2	0.431700	0.247600	6.750131	15.481100	164.773229
fixed_w05	3	0.533200	0.346020	8.727582	16.072420	175.455845
fixed_w05	4	0.417700	0.250240	6.383643	15.617440	175.664837
fixed_w05	5	0.518700	0.284580	7.504777	15.527080	168.296729
fixed_w05	6	0.611000	0.267700	7.654250	15.658480	166.538004
fixed_w05	7	0.598800	0.296320	8.427762	15.285680	157.981962
fixed_w10	2	0.439800	0.248920	6.736627	16.145900	176.414014
fixed_w10	3	0.505500	0.331840	8.330984	16.272840	186.452460
fixed_w10	4	0.409800	0.248100	6.510863	16.337260	186.595779
fixed_w10	5	0.506300	0.271900	7.240838	16.314100	186.675337
fixed_w10	6	0.570100	0.236160	6.589398	16.045920	186.938798
fixed_w10	7	0.544600	0.265160	7.390557	16.410760	180.616574
fixed_w20	2	0.386400	0.205940	5.773738	16.779220	190.246758
fixed_w20	3	0.475300	0.286080	6.962537	17.004880	207.586054
fixed_w20	4	0.353800	0.211440	5.777580	16.626260	196.948457
fixed_w20	5	0.401700	0.239820	6.262219	16.266240	189.109224
fixed_w20	6	0.520500	0.205000	6.137293	16.413040	189.111191
fixed_w20	7	0.542200	0.262800	7.581764	16.102540	181.452958
